iter	Passed	Remaining
0	173	173650
1	179	89692
2	184	61297
3	188	46864
4	191	38117
5	194	32231
6	197	27992
7	199	24774
8	202	22262
9	204	20214
10	206	18551
11	208	17176
12	210	16013
13	213	15007
14	215	14135
15	217	13370
16	219	12698
17	221	12096
18	223	11561
19	226	11083
20	228	10649
21	230	10248
22	232	9885
23	234	9550
24	237	9248
25	239	8966
26	241	8701
27	243	8456
28	245	8228
29	247	8015
30	250	7817
31	252	7632
32	254	7459
33	256	7299
34	259	7146
35	261	6999
36	263	6859
37	265	6727
38	267	6598
39	269	6476
40	271	6361
41	274	6251
42	276	6148
43	278	6047
44	280	5949
45	282	5856
46	284	5765
47	286	5681
48	288	5597
49	290	5517
50	292	5440
51	294	5366
52	296	5296
53	298	5227
54	300	5161
55	302	5097
56	304	5035
57	306	4975
58	308	4918
59	310	4861
60	312	4807
61	314	4755
62	316	4705
63	318	4656
64	320	4608
65	321	4556
66	323	4510
67	325	4466
68	327	4424
69	329	4382
70	332	4344
71	334	4305
72	336	4267
73	338	4229
74	340	4193
75	342	4158
76	344	4123
77	346	4090
78	348	4058
79	350	4027
80	352	3996
81	354	3966
82	356	3936
83	358	3907
84	360	3879
85	362	3849
86	364	3823
87	366	3797
88	368	3770
89	370	3744
90	372	3719
91	374	3695
92	376	3671
93	378	3647
94	380	3623
95	382	3601
96	384	3578
97	386	3557
98	388	3535
99	390	3514
100	392	3494
101	394	3473
102	396	3453
103	398	3434
104	400	3414
105	402	3395
106	404	3377
107	406	3358
108	408	3340
109	410	3323
110	412	3305
111	414	3288
112	416	3271
113	418	3255
114	420	3238
115	423	3226
116	425	3211
117	427	3195
118	429	3180
119	431	3164
120	433	3149
121	435	3134
122	437	3120
123	439	3106
124	441	3091
125	443	3077
126	445	3063
127	447	3050
128	449	3036
129	451	3023
130	453	3010
131	455	2997
132	457	2984
133	459	2972
134	461	2959
135	463	2946
136	465	2934
137	467	2922
138	469	2910
139	471	2899
140	473	2887
141	475	2875
142	477	2864
143	479	2853
144	482	2842
145	484	2831
146	486	2820
147	488	2809
148	490	2798
149	492	2788
150	494	2777
151	496	2767
152	498	2758
153	500	2748
154	502	2738
155	504	2728
156	506	2718
157	508	2708
158	510	2699
159	512	2690
160	514	2681
161	516	2671
162	518	2662
163	520	2653
164	522	2644
165	524	2635
166	526	2626
167	528	2617
168	530	2609
169	532	2600
170	534	2591
171	536	2583
172	538	2575
173	540	2566
174	542	2558
175	544	2550
176	546	2542
177	548	2534
178	550	2525
179	552	2517
180	554	2509
181	556	2502
182	559	2496
183	561	2489
184	563	2481
185	565	2473
186	567	2466
187	569	2458
188	571	2451
189	573	2444
190	574	2435
191	576	2427
192	578	2420
193	580	2413
194	582	2406
195	584	2399
196	586	2392
197	588	2385
198	590	2378
199	592	2371
200	595	2365
201	597	2358
202	599	2352
203	601	2345
204	603	2339
205	605	2334
206	607	2328
207	609	2322
208	612	2316
209	614	2310
210	616	2303
211	618	2298
212	620	2291
213	622	2285
214	624	2279
215	626	2273
216	628	2267
217	630	2261
218	632	2255
219	634	2250
220	636	2244
221	638	2238
222	640	2232
223	642	2226
224	644	2220
225	646	2215
226	648	2209
227	651	2204
228	653	2198
229	654	2192
230	657	2187
231	659	2181
232	661	2176
233	663	2170
234	665	2165
235	667	2159
236	669	2154
237	671	2149
238	673	2143
239	675	2138
240	677	2133
241	679	2128
242	681	2123
243	683	2117
244	685	2112
245	687	2107
246	689	2101
247	691	2096
248	693	2091
249	695	2086
250	697	2081
251	699	2076
252	701	2071
253	703	2066
254	705	2061
255	707	2056
256	709	2051
257	711	2047
258	713	2042
259	715	2037
260	717	2032
261	719	2027
262	721	2022
263	723	2017
264	725	2013
265	727	2008
266	729	2004
267	732	1999
268	734	1994
269	736	1990
270	738	1985
271	740	1980
272	742	1976
273	744	1971
274	746	1967
275	748	1962
276	750	1958
277	752	1953
278	754	1949
279	756	1945
280	758	1941
281	760	1937
282	763	1933
283	765	1929
284	767	1925
285	769	1922
286	772	1918
287	774	1913
288	776	1909
289	778	1905
290	780	1900
291	782	1896
292	784	1892
293	786	1888
294	788	1883
295	790	1879
296	792	1875
297	794	1871
298	796	1867
299	798	1862
300	800	1858
301	802	1854
302	804	1850
303	806	1846
304	808	1842
305	810	1838
306	812	1834
307	814	1829
308	817	1827
309	819	1823
310	821	1819
311	823	1815
312	825	1811
313	827	1807
314	829	1802
315	831	1799
316	833	1795
317	835	1791
318	837	1787
319	839	1783
320	841	1779
321	843	1775
322	845	1771
323	847	1768
324	849	1764
325	851	1760
326	853	1756
327	855	1752
328	857	1748
329	859	1744
330	861	1741
331	863	1737
332	865	1734
333	867	1730
334	869	1726
335	871	1723
336	874	1719
337	876	1716
338	878	1712
339	880	1709
340	882	1705
341	884	1701
342	886	1697
343	888	1694
344	890	1690
345	892	1686
346	894	1683
347	896	1679
348	898	1676
349	900	1672
350	902	1669
351	904	1665
352	906	1662
353	908	1658
354	910	1655
355	912	1651
356	914	1647
357	916	1644
358	918	1640
359	920	1637
360	922	1633
361	924	1630
362	926	1626
363	928	1623
364	931	1619
365	933	1616
366	935	1612
367	937	1609
368	939	1605
369	941	1602
370	943	1598
371	945	1595
372	947	1592
373	949	1588
374	951	1585
375	953	1582
376	955	1578
377	957	1575
378	959	1572
379	961	1568
380	963	1565
381	965	1562
382	967	1558
383	969	1555
384	971	1552
385	973	1548
386	975	1545
387	977	1542
388	979	1538
389	981	1535
390	983	1532
391	985	1529
392	987	1525
393	989	1522
394	991	1519
395	993	1515
396	995	1512
397	997	1509
398	999	1506
399	1001	1502
400	1003	1499
401	1005	1496
402	1007	1493
403	1009	1489
404	1011	1486
405	1013	1483
406	1015	1480
407	1017	1477
408	1020	1473
409	1022	1470
410	1024	1467
411	1025	1464
412	1028	1461
413	1030	1457
414	1032	1454
415	1034	1451
416	1036	1448
417	1038	1445
418	1040	1442
419	1042	1439
420	1044	1435
421	1046	1432
422	1048	1430
423	1050	1427
424	1052	1424
425	1055	1421
426	1057	1419
427	1059	1416
428	1061	1412
429	1063	1409
430	1065	1406
431	1067	1403
432	1069	1400
433	1071	1397
434	1073	1394
435	1075	1391
436	1077	1388
437	1079	1385
438	1081	1382
439	1083	1379
440	1085	1376
441	1087	1373
442	1089	1370
443	1091	1367
444	1093	1364
445	1095	1361
446	1097	1358
447	1099	1355
448	1101	1352
449	1103	1349
450	1105	1346
451	1107	1343
452	1109	1340
453	1111	1337
454	1113	1334
455	1115	1331
456	1117	1328
457	1119	1325
458	1121	1322
459	1123	1318
460	1125	1315
461	1127	1312
462	1129	1309
463	1131	1306
464	1133	1303
465	1135	1300
466	1137	1297
467	1139	1294
468	1141	1292
469	1143	1289
470	1145	1286
471	1147	1283
472	1149	1280
473	1151	1277
474	1153	1274
475	1155	1272
476	1157	1269
477	1159	1266
478	1161	1263
479	1163	1260
480	1165	1257
481	1167	1254
482	1169	1251
483	1171	1249
484	1173	1246
485	1175	1243
486	1177	1240
487	1179	1237
488	1181	1234
489	1183	1231
490	1185	1228
491	1187	1226
492	1189	1223
493	1191	1220
494	1193	1217
495	1195	1214
496	1197	1212
497	1199	1209
498	1201	1206
499	1203	1203
500	1205	1200
501	1207	1198
502	1210	1195
503	1212	1193
504	1214	1190
505	1216	1187
506	1218	1184
507	1220	1181
508	1222	1179
509	1224	1176
510	1226	1173
511	1228	1170
512	1230	1168
513	1232	1165
514	1234	1162
515	1236	1159
516	1238	1157
517	1240	1154
518	1242	1151
519	1244	1148
520	1246	1146
521	1248	1143
522	1250	1140
523	1252	1137
524	1254	1135
525	1256	1132
526	1258	1129
527	1260	1127
528	1262	1124
529	1264	1121
530	1266	1118
531	1268	1116
532	1270	1113
533	1272	1110
534	1274	1108
535	1276	1105
536	1278	1102
537	1280	1099
538	1282	1097
539	1284	1094
540	1287	1091
541	1288	1089
542	1291	1086
543	1293	1083
544	1295	1081
545	1297	1078
546	1299	1075
547	1301	1073
548	1303	1070
549	1305	1067
550	1307	1065
551	1309	1062
552	1311	1059
553	1313	1057
554	1315	1054
555	1317	1052
556	1319	1049
557	1321	1046
558	1323	1044
559	1325	1041
560	1327	1038
561	1329	1036
562	1331	1033
563	1333	1031
564	1335	1028
565	1337	1025
566	1339	1023
567	1341	1020
568	1343	1017
569	1345	1015
570	1348	1013
571	1350	1010
572	1352	1008
573	1354	1005
574	1356	1002
575	1358	1000
576	1361	997
577	1363	995
578	1365	992
579	1367	990
580	1369	987
581	1371	984
582	1373	982
583	1375	979
584	1377	977
585	1379	974
586	1381	972
587	1383	969
588	1385	966
589	1387	964
590	1389	961
591	1391	959
592	1393	956
593	1395	954
594	1397	950
595	1399	948
596	1401	945
597	1403	943
598	1405	940
599	1407	938
600	1409	935
601	1411	933
602	1413	930
603	1415	927
604	1417	925
605	1419	922
606	1421	920
607	1423	917
608	1425	915
609	1427	912
610	1429	910
611	1431	907
612	1433	904
613	1435	902
614	1437	899
615	1439	897
616	1441	894
617	1443	892
618	1445	889
619	1447	887
620	1449	884
621	1451	882
622	1453	879
623	1455	877
624	1457	874
625	1459	872
626	1461	869
627	1463	866
628	1465	864
629	1467	861
630	1469	859
631	1471	856
632	1473	854
633	1475	851
634	1477	849
635	1479	846
636	1481	844
637	1483	841
638	1485	839
639	1487	836
640	1489	834
641	1491	831
642	1493	829
643	1495	826
644	1497	824
645	1499	821
646	1501	819
647	1503	816
648	1505	814
649	1507	811
650	1509	809
651	1511	806
652	1513	804
653	1515	801
654	1517	799
655	1519	796
656	1521	794
657	1523	792
658	1525	789
659	1527	787
660	1529	784
661	1531	782
662	1534	779
663	1536	777
664	1538	774
665	1540	772
666	1542	769
667	1544	767
668	1546	764
669	1548	762
670	1550	760
671	1552	757
672	1554	755
673	1556	752
674	1558	750
675	1560	747
676	1562	745
677	1564	742
678	1566	740
679	1568	738
680	1570	735
681	1572	733
682	1574	730
683	1576	728
684	1578	725
685	1580	723
686	1582	720
687	1584	718
688	1586	716
689	1588	713
690	1590	711
691	1592	708
692	1594	706
693	1596	703
694	1598	701
695	1600	699
696	1602	696
697	1605	694
698	1607	692
699	1609	689
700	1611	687
701	1613	684
702	1615	682
703	1617	679
704	1619	677
705	1621	675
706	1623	672
707	1625	670
708	1627	667
709	1629	665
710	1631	663
711	1633	660
712	1635	658
713	1637	655
714	1639	653
715	1641	651
716	1643	648
717	1645	646
718	1647	643
719	1649	641
720	1651	639
721	1653	636
722	1655	634
723	1657	631
724	1659	629
725	1661	627
726	1663	624
727	1665	622
728	1667	619
729	1669	617
730	1671	615
731	1673	612
732	1675	610
733	1677	608
734	1679	605
735	1681	603
736	1683	600
737	1685	598
738	1687	596
739	1689	593
740	1691	591
741	1694	589
742	1696	586
743	1698	584
744	1700	581
745	1702	579
746	1704	577
747	1705	574
748	1708	572
749	1710	570
750	1712	567
751	1714	565
752	1716	562
753	1718	560
754	1720	558
755	1722	555
756	1724	553
757	1726	551
758	1728	548
759	1730	546
760	1732	544
761	1734	541
762	1736	539
763	1738	537
764	1741	534
765	1743	532
766	1746	530
767	1749	528
768	1751	526
769	1753	523
770	1755	521
771	1757	519
772	1760	516
773	1762	514
774	1764	512
775	1766	510
776	1769	507
777	1771	505
778	1773	503
779	1775	500
780	1777	498
781	1779	496
782	1781	493
783	1783	491
784	1785	489
785	1787	486
786	1789	484
787	1791	481
788	1793	479
789	1795	477
790	1797	474
791	1799	472
792	1801	470
793	1803	467
794	1805	465
795	1807	463
796	1809	460
797	1811	458
798	1813	456
799	1815	453
800	1817	451
801	1819	449
802	1821	446
803	1823	444
804	1825	442
805	1827	439
806	1829	437
807	1831	435
808	1833	432
809	1835	430
810	1837	428
811	1839	425
812	1841	423
813	1843	421
814	1845	418
815	1847	416
816	1849	414
817	1851	411
818	1853	409
819	1855	407
820	1857	405
821	1859	402
822	1862	400
823	1864	398
824	1866	395
825	1868	393
826	1870	391
827	1871	388
828	1874	386
829	1876	384
830	1878	381
831	1880	379
832	1882	377
833	1884	375
834	1886	372
835	1888	370
836	1890	368
837	1892	365
838	1894	363
839	1896	361
840	1898	358
841	1900	356
842	1902	354
843	1904	352
844	1906	349
845	1908	347
846	1910	345
847	1912	342
848	1914	340
849	1916	338
850	1918	335
851	1920	333
852	1922	331
853	1924	329
854	1926	326
855	1928	324
856	1930	322
857	1932	319
858	1934	317
859	1936	315
860	1938	312
861	1940	310
862	1942	308
863	1944	306
864	1946	303
865	1948	301
866	1950	299
867	1952	296
868	1954	294
869	1956	292
870	1958	290
871	1960	287
872	1962	285
873	1964	283
874	1966	280
875	1968	278
876	1970	276
877	1972	274
878	1974	271
879	1976	269
880	1978	267
881	1980	264
882	1982	262
883	1984	260
884	1986	258
885	1988	255
886	1990	253
887	1992	251
888	1994	249
889	1997	246
890	1999	244
891	2001	242
892	2003	240
893	2005	237
894	2007	235
895	2009	233
896	2011	230
897	2013	228
898	2015	226
899	2017	224
900	2019	221
901	2022	219
902	2024	217
903	2026	215
904	2028	212
905	2030	210
906	2032	208
907	2034	206
908	2036	203
909	2038	201
910	2040	199
911	2042	197
912	2044	194
913	2046	192
914	2048	190
915	2050	188
916	2052	185
917	2054	183
918	2056	181
919	2058	179
920	2060	176
921	2062	174
922	2064	172
923	2066	169
924	2068	167
925	2070	165
926	2072	163
927	2074	160
928	2076	158
929	2078	156
930	2080	154
931	2082	151
932	2084	149
933	2086	147
934	2088	145
935	2090	142
936	2092	140
937	2094	138
938	2096	136
939	2098	133
940	2100	131
941	2102	129
942	2104	127
943	2106	124
944	2108	122
945	2110	120
946	2112	118
947	2114	116
948	2116	113
949	2118	111
950	2120	109
951	2122	107
952	2124	104
953	2126	102
954	2128	100
955	2131	98
956	2134	95
957	2138	93
958	2141	91
959	2143	89
960	2146	87
961	2148	84
962	2150	82
963	2152	80
964	2154	78
965	2156	75
966	2158	73
967	2160	71
968	2162	69
969	2164	66
970	2166	64
971	2168	62
972	2170	60
973	2172	57
974	2174	55
975	2176	53
976	2178	51
977	2180	49
978	2182	46
979	2184	44
980	2186	42
981	2188	40
982	2190	37
983	2192	35
984	2194	33
985	2196	31
986	2198	28
987	2200	26
988	2202	24
989	2204	22
990	2206	20
991	2208	17
992	2211	15
993	2213	13
994	2215	11
995	2217	8
996	2219	6
997	2221	4
998	2223	2
999	2225	0
