iter	Logloss
0	0.6856811015
1	0.6777651671
2	0.6717509782
3	0.663557665
4	0.656828029
5	0.6502380244
6	0.6428171533
7	0.6370315117
8	0.6308243849
9	0.6245508038
10	0.6193158117
11	0.6129565714
12	0.6067795257
13	0.6013087319
14	0.5948378032
15	0.5885441049
16	0.5834137805
17	0.5770864068
18	0.57202965
19	0.5672940365
20	0.5620396355
21	0.5574172002
22	0.5521658678
23	0.5472417944
24	0.5414194037
25	0.5370674026
26	0.532448395
27	0.5269695186
28	0.5228379694
29	0.5197400566
30	0.5155101009
31	0.5109798067
32	0.5077347489
33	0.5027343065
34	0.4988515966
35	0.494757945
36	0.4909048728
37	0.4863932084
38	0.4822924834
39	0.4793899688
40	0.4758808498
41	0.4731703102
42	0.4705734605
43	0.4673447041
44	0.4644363006
45	0.4606967096
46	0.4580919256
47	0.4544065835
48	0.4520618671
49	0.4488745632
50	0.4463584612
51	0.4439193508
52	0.4413353059
53	0.4384443883
54	0.4363531286
55	0.4329515441
56	0.4311640177
57	0.4290312131
58	0.4268902918
59	0.4243192726
60	0.4218486293
61	0.419512277
62	0.4172180126
63	0.414297833
64	0.4124207611
65	0.4107508557
66	0.4084992811
67	0.4068336142
68	0.4044681187
69	0.4030878181
70	0.4013451905
71	0.3999490566
72	0.3974410393
73	0.3960292335
74	0.3941620342
75	0.3919441955
76	0.3902796784
77	0.3889732483
78	0.38758508
79	0.3857346559
80	0.3842081408
81	0.3824392522
82	0.3806244913
83	0.3791006676
84	0.3775901946
85	0.3761182672
86	0.3746500418
87	0.3728861836
88	0.3714875265
89	0.3698463495
90	0.3686471572
91	0.3667749814
92	0.3657379242
93	0.3641650971
94	0.362639505
95	0.3612685663
96	0.3597171769
97	0.3585543353
98	0.3569527312
99	0.355334761
100	0.3542887158
101	0.3531642634
102	0.3513695603
103	0.3499310125
104	0.348912497
105	0.3479080667
106	0.3466222015
107	0.345017036
108	0.3436153267
109	0.3422186465
110	0.3411997585
111	0.34025683
112	0.3391823747
113	0.3384336737
114	0.3373874343
115	0.3361090251
116	0.3347407229
117	0.3337179623
118	0.3325918075
119	0.3315859296
120	0.3302177851
121	0.3295740278
122	0.3284793764
123	0.3275338643
124	0.3264486136
125	0.3255530402
126	0.3243136945
127	0.3234942621
128	0.3224539653
129	0.3213146835
130	0.3202215948
131	0.3191853093
132	0.3181557438
133	0.317201931
134	0.3163647254
135	0.3153386495
136	0.3146952585
137	0.3137383094
138	0.3129260111
139	0.3122332683
140	0.3112666918
141	0.3107801584
142	0.310106008
143	0.3094331286
144	0.3083530381
145	0.3071551131
146	0.3065880702
147	0.3055417902
148	0.3050060389
149	0.3039631086
150	0.3031429921
151	0.3021572645
152	0.3013317263
153	0.3008839564
154	0.3000734371
155	0.2992173827
156	0.2987179038
157	0.2980804023
158	0.2975957043
159	0.296840253
160	0.2961196317
161	0.2953681466
162	0.2945276891
163	0.2940219132
164	0.2935953014
165	0.2930324755
166	0.2925570102
167	0.2918814929
168	0.2911096612
169	0.2905286348
170	0.2897787769
171	0.2891111745
172	0.2885018748
173	0.2875462113
174	0.2868868396
175	0.2862902043
176	0.2856528533
177	0.2851011591
178	0.2845903244
179	0.2841460801
180	0.2834664974
181	0.2828693209
182	0.2823283798
183	0.2817379724
184	0.2811247676
185	0.2806564671
186	0.2800636179
187	0.2792330338
188	0.2787319619
189	0.2781435672
190	0.2776632479
191	0.2770601233
192	0.2766760196
193	0.2762357818
194	0.275726309
195	0.2749884842
196	0.2742997909
197	0.2734738513
198	0.2728195512
199	0.272463117
200	0.2720918851
201	0.2715230321
202	0.2710946018
203	0.2706269493
204	0.2700647091
205	0.2695128431
206	0.2690752538
207	0.2684198261
208	0.2678542923
209	0.267404436
210	0.266636752
211	0.2662129314
212	0.2658303743
213	0.2654370549
214	0.2649051268
215	0.2642881646
216	0.2636073151
217	0.2632527732
218	0.2625471943
219	0.2620350358
220	0.2615519877
221	0.2612501671
222	0.2606910186
223	0.260172716
224	0.2594543234
225	0.2591242501
226	0.2587791763
227	0.2583303772
228	0.2577685772
229	0.2571482352
230	0.2568537482
231	0.2564673676
232	0.255862019
233	0.2554750213
234	0.2548617309
235	0.2542858702
236	0.2536176917
237	0.2531663465
238	0.2526410097
239	0.2521177207
240	0.2516854449
241	0.2513171619
242	0.2509056925
243	0.2504107687
244	0.2500290095
245	0.2496254982
246	0.2489583453
247	0.2486496484
248	0.2483958341
249	0.2479694963
250	0.2474414819
251	0.2467759392
252	0.2463240483
253	0.245936693
254	0.2455748687
255	0.2450187569
256	0.2446197466
257	0.2440687787
258	0.2435098318
259	0.2430417253
260	0.242605349
261	0.2421170151
262	0.2416072005
263	0.2409649179
264	0.2404052906
265	0.2400702624
266	0.2395329226
267	0.2389097893
268	0.2385075419
269	0.2381705962
270	0.2376006399
271	0.2371225177
272	0.2366988393
273	0.2363588568
274	0.2357357902
275	0.2353205743
276	0.2348644935
277	0.2344605657
278	0.2340721729
279	0.2338426853
280	0.2334508717
281	0.2330113379
282	0.2327520932
283	0.2323732443
284	0.2319811086
285	0.2315786772
286	0.2312687227
287	0.2307572039
288	0.230278726
289	0.2299959005
290	0.2295099443
291	0.2290176616
292	0.2286641432
293	0.2281322593
294	0.2277522781
295	0.2272083687
296	0.2269186869
297	0.2264478908
298	0.2261019197
299	0.2257279826
300	0.2253525096
301	0.2250931928
302	0.2248051343
303	0.2243804139
304	0.2238371256
305	0.2233943084
306	0.2231242897
307	0.2228459941
308	0.2224790063
309	0.2223043373
310	0.2217731882
311	0.2214229271
312	0.2210960365
313	0.2206524958
314	0.2203228753
315	0.2200083262
316	0.2195934329
317	0.2192140848
318	0.2188490019
319	0.2185109833
320	0.2183176826
321	0.2180531927
322	0.2175672757
323	0.2172458647
324	0.2170152627
325	0.2166838557
326	0.2163854519
327	0.2161058152
328	0.2157625087
329	0.2153938583
330	0.21517192
331	0.2147582812
332	0.214351389
333	0.2139606926
334	0.2135919115
335	0.2133271081
336	0.2131047173
337	0.212906988
338	0.2126123142
339	0.2124460834
340	0.2122458558
341	0.2120124338
342	0.2116060318
343	0.2113335815
344	0.2109956516
345	0.2107769644
346	0.2106098279
347	0.2103156559
348	0.2100172474
349	0.209738178
350	0.2094614569
351	0.2090137626
352	0.208766364
353	0.208409271
354	0.2080578425
355	0.207785347
356	0.2075047754
357	0.2072705187
358	0.2069347196
359	0.2065034587
360	0.2062136026
361	0.2056673874
362	0.2052173172
363	0.2050094188
364	0.2048922382
365	0.2046879522
366	0.2044267657
367	0.203998328
368	0.2038007111
369	0.2035995542
370	0.203196509
371	0.2028244038
372	0.2026047349
373	0.2022774601
374	0.2018841235
375	0.2017536231
376	0.2012099328
377	0.2008827219
378	0.2006639202
379	0.2002476843
380	0.1998559841
381	0.1995814048
382	0.1992932014
383	0.1990686298
384	0.1987822634
385	0.1984566293
386	0.1982174653
387	0.197918401
388	0.1976734546
389	0.1973428184
390	0.1970601024
391	0.196726736
392	0.1963440549
