iter	Passed	Remaining
0	18	18445
1	29	14939
2	40	13363
3	50	12470
4	62	12352
5	72	11946
6	81	11622
7	94	11666
8	104	11503
9	114	11305
10	121	10906
11	126	10403
12	131	9946
13	134	9500
14	139	9154
15	142	8769
16	145	8432
17	148	8117
18	152	7869
19	155	7609
20	157	7358
21	160	7119
22	162	6902
23	164	6703
24	167	6545
25	170	6375
26	172	6217
27	174	6070
28	177	5930
29	179	5798
30	181	5678
31	184	5591
32	187	5484
33	188	5368
34	191	5274
35	193	5183
36	195	5096
37	198	5014
38	201	4959
39	203	4892
40	206	4823
41	208	4755
42	210	4681
43	212	4620
44	215	4571
45	217	4516
46	220	4461
47	222	4409
48	224	4359
49	226	4310
50	229	4264
51	231	4227
52	234	4192
53	236	4149
54	239	4107
55	241	4068
56	243	4030
57	246	3995
58	249	3974
59	251	3940
60	253	3906
61	256	3874
62	258	3842
63	260	3811
64	263	3785
65	265	3761
66	268	3734
67	270	3707
68	272	3681
69	275	3655
70	277	3632
71	281	3626
72	284	3607
73	286	3587
74	289	3567
75	291	3545
76	293	3523
77	297	3512
78	299	3492
79	301	3471
80	304	3452
81	306	3433
82	308	3413
83	311	3398
84	314	3381
85	316	3363
86	318	3345
87	321	3327
88	323	3310
89	325	3292
90	328	3283
91	331	3267
92	333	3250
93	335	3234
94	337	3218
95	340	3203
96	342	3188
97	345	3181
98	347	3166
99	350	3151
100	352	3137
101	354	3123
102	357	3109
103	359	3097
104	362	3086
105	364	3073
106	366	3060
107	369	3047
108	371	3034
109	373	3022
110	376	3015
111	378	3004
112	381	2992
113	383	2982
114	386	2975
115	388	2963
116	391	2953
117	394	2946
118	396	2935
119	398	2923
120	400	2912
121	403	2902
122	405	2891
123	408	2885
124	410	2876
125	413	2866
126	415	2856
127	417	2846
128	420	2836
129	422	2827
130	425	2822
131	427	2813
132	430	2804
133	432	2795
134	434	2786
135	437	2777
136	439	2771
137	442	2764
138	445	2756
139	447	2747
140	449	2739
141	452	2731
142	454	2722
143	457	2719
